COLUMN 1: the molecular chemical symbol
COLUMN 2: the molecule, spelled out
reference:https://www.nap.edu/read/21774/chapter/11
The code that reads in this file is specific to molecules and elements and
1                     2                                          3
H3                    molecular_hydrogen                         hydrogen
HCl                   hydrogen_chloride                          hydrogen_*chlorine
HNC                   hydrogen_*isocyanide                       hydrogen_carbon_nitrogen
HCN                   hydrogen_*cyanide                          hydrogen_carbon_nitrogen
HCO                   *formylium                                 hydrogen_carbon_oxygen
HCP                   *phosphaethyne                             hydrogen_carbon_*phosphorus
HCS                   *thioformyl                                hydrogen_carbon_sulfur
HDO                   deuterated_water                           hydrogen_deuterium_oxygen
HNC                   hydrogen_*isocyanide                       hydrogen_carbon_nitrogen
HNO                   *nitroxyl                                  hydrogen_nitrogen_oxygen
HO2                   *hydroperoxyl                              hydrogen_oxygen
HSC                   *isothioformyl                             hydrogen_carbon_sulfur
H2                    molecular_hydrogen                         hydrogen
HD                    hydrogen_*deuteride                        hydrogen_deuterium
HF                    hydrogen_*fluoride                         hydrogen_*fluorine
HO                    *hydroxyl                                  hydrogen_oxygen
iC3H                  *propynylidyne                             hydrogen_carbon
iH2C3                 *propadienylidene                          hydrogen_carbon
iH2C4                 *diacetylene                               hydrogen_carbon
iC3H                  *propynylidyne                             hydrogen_carbon
KCl                   *potassium_*chloride                       *potassium_*chlorine    
KCN                   *potassium_*cyanide                        *potassium_carbon_nitrogen
MgCCH                 *magnesium_*monoacetylide                  hydrogen_carbon_*magnesium
MgCN                  *magnesium_*cyanide                        carbon_nitrogen_*magnesium
MgH                   *magnesium_*monohydride_cation             hydrogen_*magnesium
MgNC                  *magnesium_*isocyanide                     carbon_nitrogen_*magnesium
NH2CH2CN              *aminoacetonitrile                         hydrogen_carbon_nitrogen
NCCNH                 protonated_*cyanogen                       hydrogen_carbon_nitrogen
NH2CDO                deuterated_*formamide                      hydrogen_deuterium_carbon_nitrogen_oxygen
NH22CO                *urea                                      hydrogen_carbon_nitrogen_oxygen
NHDCHO                deuterated_*formamide                      hydrogen_deuterium_carbon_nitrogen_oxygen
NH2CN                 *cyanamide                                 hydrogen_carbon_nitrogen
NH3D                  deuterated_*ammonium_ion                   hydrogen_deuterium_nitrogen
NaCl                  sodium_*chloride                           sodium_*chlorine
NaCN                  sodium_*cyanide                            carbon_sodium_nitrogen
NaOH                  sodium_*hydroxide                          hydrogen_oxygen_sodium
NCCP                  *cyanophosphaethyne                        carbon_nitrogen_*phosphorus
NH2D                  deuterated_*ammonia                        hydrogen_deuterium_nitrogen
NH4                   *ammonium_ion                              hydrogen_nitrogen
NH                    *ammonium_ion                              hydrogen_nitrogen
NHD2                  deuterated_*ammonia                        hydrogen_deuterium_nitrogen
N2H                   *diazenylium                               hydrogen_nitrogen
N2O                   *nitrous_oxide                             oxygen_nitrogen
NaI                   sodium_*iodide                             sodium_iodine
ND3                   deuterated_*ammonia                        deuterium_nitrogen
NH2                   *amino_radical                             hydrogen_nitrogen
NH3                   *ammonia                                   hydrogen_nitrogen
NO                    *nitric_oxide                              oxygen_nitrogen
N2                    molecular_nitrogen                         nitrogen
NH                    nitrogen_*monohydride                      hydrogen_nitrogen
NO                    *nitric_oxide                              oxygen_nitrogen
NS                    nitrogen_*sulfide                          nitrogen_sulfur
OCS                   *carbonyl_*sulfide                         carbon_oxygen_sulfur
OH                    *hydroxyl_radical                          hydrogen_oxygen
O2                    molecular_oxygen                           oxygen
O3                    ozone                                      oxygen
propene               *propylene                                 hydrogen_carbon_oxygen
pahs                  polycyclic_aromatic_*hydrocarbon           hydrogen_carbon
pah                   polycyclic_aromatic_*hydrocarbon           hydrogen_carbon  
PH3                   phosphine                                  hydrogen_*phosphorus
PN                    *phosphorus_*mononitride                   nitrogen_*phosphorus
PO                    *phosphorus_*monoxide                      oxygen_*phosphorus
SiH3CN                *silyl_*cyanide                            hydrogen_carbon_nitrogen_silicon
SiCSi                 *disilicon_*carbide                        carbon_silicon
SiC2                  silicon_*dicarbide                         carbon_silicon
SiC3                  silicon_*tricarbide                        carbon_silicon
SiC4                  silicon_*carbide_cluster                   carbon_silicon
SiH4                  *silane                                    hydrogen_silicon
SiCN                  silicon_*carbonitride                      carbon_nitrogen_silicon
SiC                   *carborundum                               carbon_silicon
SiH                   *silylidine                                hydrogen_silicon
SiN                   silicon_*mononitride                       nitrogen_silicon
SiO                   silicon_*monoxide                          oxygen_silicon
SiS                   silicon_*monosulfide                       sulfur_silicon
SO2                   sulfur_*dioxide                            oxygen_sulfur
SH                    sulfur_*monohydride                        hydrogen_sulfur
SO                    sulfur_*monoxide                           oxygen_sulfur
TiO2                  *titanium_*dioxide                         oxygen_*titanium
TiO                   *titanium_*oxide                           oxygen_*titanium
