
COLUMN 1: the catalog number to search for, in regular expression format.  The catalog itself should be
in one captured group, the id number and/or coordinate in the other
COLUMN 2: not used by the algorithm, but a human-readable reminder of what format the catalog number is in
COLUMN 3: word, phrase, or multiple phrases to use in the extended search fields (.x) of each of the "words"
indexed when the catalog number in Column 1 is found in the text. 
https://lambda.gsfc.nasa.gov/product/lss/
https://heasarc.gsfc.nasa.gov/docs/cgro/db-perl/W3Browse/w3table.pl?MissionHelp=galaxy_catalog
https://ned.ipac.caltech.edu/level5/CATALOGS/pgc.html
http://cds.u-strasbg.fr/cgi-bin/Dic-Simbad?/542196
http://cdsweb.u-strasbg.fr/cgi-bin/Dic-Simbad?4C

Index or Substitute?  INDEX
(?:(?:mk)|(?:mkn)|(?:mkr)|(?:markarian)|(?:mark)|(?:mrk))(?:[0-9]+)  NNNN                      *mrk_catalog_galaxy
(?:(?:ngc)|(?:N))(?:[0-9]+)                                          NNNN                      galaxy_catalog
((?:(?:nhicat)|(?:hicat))j?)([0-9]+)                                 HHMM+DD                   radio_catalog|neutral_hydrogen_catalog|galaxy_catalog
(nsaj?)([0-9]+)                                                      HHMMSS+DDMMSS             galaxy_catalog
pgc[0-9]+                                                            NNNNNN                    galaxy_catalog
(pksj?)([0-9+])                                                      HHMM+DDM                  radio_catalog|galaxy_catalog
(rxj?)([0-9]+)                                                       HHMM.m+DDMM               x_ray_catalog|*rosat_catalog
sao[0-9]+                                                            NNNNNN                    star_catalog
(sbsgj?)([0-9]+)                                                     HHMM+DDd                  galaxy_catalog
(sdfj?)([0-9]+)                                                      HHMMSS.s+DDMMSS           galaxy_catalog|*subaru_catalog
(sdssj?)([0-9]+)                                                     HHMMSS.ss+DDMMSS.s        *sdss_catalog
(sgcj?)([0-9]+)                                                      HHMMSS+DDMM.m             galaxy_catalog
(sptclj?)([0-9]+)                                                    HHMM+DD                   galaxy_cluster_catalog|sub_milli_meter_catalog|milli_meter_catalog
(sstj?)([0-9]+)                                                      HHMMSS.sss+DDMMSS.s       *spitzer_catalog|infrared_catalog
(sstglmaj?)([0-9]+)                                                  HHMMSS.sss+DDMMSS.s       *GLIMPSE_catalog|*spitzer_catalog
(sstglmcj?)([0-9]+)                                                  HHMMSS.sss+DDMMSS.s       *GLIMPSE_catalog|*spitzer_catalog
(sstgdsj?)([0-9]+)                                                   HHMMSS.sss+DDMMSS.s       *GOODS_catalog|*spitzer_catalog
(sstfpsj?)([0-9]+)                                                   HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstsngj?)([0-9]+)                                                   HHMMSS.sss+DDMMSS.s       *SINGS_catalog|*spitzer_catalog
(sstc2dj?)([0-9]+)                                                   HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstswrj?)([0-9]+)                                                   HHMMSS.sss+DDMMSS.s       *swire_catalog|*spitzer_catalog
(sstgflsj?)([0-9]+)                                                  HHMMSS.sss+DDMMSS.s       *milky_way_catalog|*spitzer_catalog
(sstxflsj?)([0-9]+)                                                  HHMMSS.sss+DDMMSS.s       *galaxy_catalog|*spitzer_catalog
(sstvelaj?)([0-9]+)                                                  HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstvelcj?)([0-9]+)                                                  HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstglmdpaj?)([0-9]+)                                                HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstglmdpcj?)([0-9]+)                                                HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstglmdpraj?)([0-9]+)                                               HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstglmdprcj?)([0-9]+)                                               HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstsmogaj?)([0-9]+)                                                 HHMMSS.sss+DDMMSS.s       *spitzer_catalog
(sstsmogcj?)([0-9]+)                                                 HHMMSS.sss+DDMMSS.s       *spitzer_catalog
tn[ns][0-9]+                                                         NNNNNNNNN-NNNN            variable_star_catalog
ugc[0-9]+                                                            NNNNN                     galaxy_catalog
(ulasj?)([0-9]+)                                                     HHMMSS.ss+DDMMSS.s        near_infrared_catalog
(ugcsj?)([0-9]+)                                                     HHMMSS.ss+DDMMSS.s        near_infrared_catalog
(udxsj?)([0-9]+)                                                     HHMMSS.ss+DDMMSS.s        near_infrared_catalog
(ugpsj?)([0-9]+)                                                     HHMMSS.ss+DDMMSS.s        near_infrared_catalog
(uudsj?)([0-9]+)                                                     HHMMSS.ss+DDMMSS.s        near_infrared_catalog
